image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
30,0,3174.5,2388.0,16234.0,55.4761401,10.328419,0.0,55.47607945437584,10.328561042227317,-6.75104,8.96148
30,1,3133.0,2362.0,3630.0,55.4761401,10.328419,0.0,55.476080818377774,10.328557200746422,-6.5992,8.71912
30,2,221.5,1687.5,2834.5,55.4761401,10.328419,0.0,55.476116203735465,10.32828769540603,-2.66012,-8.28404
30,3,604.0,1456.0,2348.0,55.4761401,10.328419,0.0,55.476128348598785,10.328323101826328,-1.30816,-6.05024
30,4,2948.0,1152.0,5415.0,55.4761401,10.328419,0.0,55.47614429692901,10.328540076072551,0.46719999999999995,7.638719999999999
30,5,2613.5,158.5,2199.5,55.4761401,10.328419,0.0,55.47619641754112,10.32850911281088,6.26924,5.685239999999999
30,6,2431.0,40.5,2801.0,55.4761401,10.328419,0.0,55.476202608011405,10.32849221955152,6.95836,4.61944
30,7,2991.5,50.0,7680.0,55.4761401,10.328419,0.0,55.47620210962609,10.328544102685056,6.90288,7.89276
30,8,2821.5,68.0,4492.5,55.4761401,10.328419,0.0,55.47620116531706,10.328528366498256,6.797759999999999,6.89996
30,9,2545.0,30.0,2255.5,55.4761401,10.328419,0.0,55.47620315885834,10.328502772053257,7.019679999999999,5.2852
31,0,275.5,2428.5,4259.5,55.4761373,10.3284248,36.0,55.47612859368812,10.328257516131622,-0.9691822049766223,-10.553982260244549
31,1,3155.0,2388.0,3783.0,55.4761373,10.3284248,36.0,55.4760415198737,10.328475357679709,-10.66219488788793,3.1896970097952075
31,2,81.0,2334.5,4191.5,55.4761373,10.3284248,36.0,55.476138580901264,10.32824806497927,0.14258927662942256,-11.150257891716688
31,3,1024.5,2203.0,2376.0,55.4761373,10.3284248,36.0,55.47611506814943,10.328325875909036,-2.4748382839120118,-6.241146329680426
31,4,228.5,2148.0,5547.5,55.4761373,10.3284248,36.0,55.47614194806303,10.32826925809983,0.5174200098981041,-9.813178467375238
31,5,380.0,2146.0,5199.5,55.4761373,10.3284248,36.0,55.47613736126913,10.328280712343975,0.006820448574115012,-9.090527259685285
31,6,463.0,2006.5,2181.5,55.4761373,10.3284248,36.0,55.47614072257356,10.328294518019325,0.38099914606028884,-8.219523652834228
31,7,414.5,1940.0,6299.0,55.4761373,10.3284248,36.0,55.47614504054278,10.328294504171023,0.8616732808550638,-8.220397345740682
31,8,614.5,2156.0,119925.0,55.4761373,10.3284248,36.0,55.476129705765736,10.328297729328602,-0.8453862912068786,-8.016921324962562
31,9,28.5,1870.0,2969.5,55.4761373,10.3284248,36.0,55.47615991426491,10.328269406288534,2.517408455283327,-9.803829204003302
31,10,582.0,1850.5,11620.5,55.4761373,10.3284248,36.0,55.4761436740747,10.328311917382992,0.709558749682464,-7.121793326174879
31,11,222.5,1813.5,2143.5,55.4761373,10.3284248,36.0,55.47615633004144,10.328287008523288,2.118414523310005,-8.693299688209837
31,12,898.0,1832.0,3740.5,55.4761373,10.3284248,36.0,55.47613471503066,10.32833658833399,-0.2877574702358885,-5.565296685417898
31,13,103.0,1703.0,2006.0,55.4761373,10.3284248,36.0,55.47616470484097,10.328284071664102,3.050692941989917,-8.878586889234846
31,14,3102.0,2061.5,97492.5,55.4761373,10.3284248,36.0,55.476057011613044,10.328489153129402,-8.937662352403988,4.060055477357469
31,15,738.0,1678.5,2490.0,55.4761373,10.3284248,36.0,55.47614616371521,10.328332958117874,0.9867042639436767,-5.794327953396784
31,16,468.0,1647.5,3927.0,55.4761373,10.3284248,36.0,55.476155805191425,10.328314425218995,2.059988486420089,-6.9635733080521725
31,17,956.5,1657.5,12860.0,55.4761373,10.3284248,36.0,55.47614031730283,10.328350463578783,0.33588461479853304,-4.689903924553427
31,18,3220.5,1689.5,2033.5,55.4761373,10.3284248,36.0,55.47606914607687,10.328518267352594,-7.586860018460786,5.89687930304506
31,19,1125.0,1485.5,2607.0,55.4761373,10.3284248,36.0,55.47614242149132,10.328372440404962,0.5701218056423951,-3.3033803111859608
31,20,770.0,1363.5,3176.0,55.4761373,10.3284248,36.0,55.4761585462939,10.328352493287062,2.365126618847413,-4.561849107370761
31,21,1075.5,1311.0,2589.0,55.4761373,10.3284248,36.0,55.476151354069,10.328378227820945,1.5644918050027246,-2.9382507490136573
31,22,1165.5,1130.0,3896.0,55.4761373,10.3284248,36.0,55.47615626087725,10.328394815673079,2.110715200131895,-1.891718893686949
31,23,518.0,958.0,3401.5,55.4761373,10.3284248,36.0,55.47618352737408,10.328355684459373,5.1460077436604,-4.360517225993632
31,24,1049.0,902.0,5020.0,55.4761373,10.3284248,36.0,55.47616953014278,10.328398496511097,3.587843082731732,-1.6594938768474143
31,25,1387.0,947.5,10534.0,55.4761373,10.3284248,36.0,55.47615717639366,10.328421332818875,2.2126300217812624,-0.21874534854997407
31,26,1350.0,790.5,4047.5,55.4761373,10.3284248,36.0,55.47616498077844,10.328427104171963,3.081410160899122,0.14537080142741
31,27,1038.5,620.0,2084.5,55.4761373,10.3284248,36.0,55.476181822661275,10.32841305347911,4.95623998209852,-0.7410910226470575
31,28,1425.5,552.5,2234.5,55.4761373,10.3284248,36.0,55.476172753924196,10.328445707460418,3.9467127882799513,1.3190570524535659
31,29,670.0,404.5,2288.0,55.4761373,10.3284248,36.0,55.47620233211048,10.32839718260644,7.239341424202772,-1.7423884595065968
31,30,1418.5,382.5,4602.5,55.4761373,10.3284248,36.0,55.476180184974474,10.328454432747161,4.773933521409116,1.8695376361994853
31,31,754.0,217.0,5322.0,55.4761373,10.3284248,36.0,55.476207699810885,10.32841367479202,7.836871099678745,-0.7018922314857647
31,32,1457.5,288.0,15068.0,55.4761373,10.3284248,36.0,55.47618299316491,10.328462494984649,5.086539851202628,2.3781862718734934
31,33,1776.5,189.5,7142.5,55.4761373,10.3284248,36.0,55.476177336999285,10.32849174330244,4.456898373436087,4.223470160242968
31,34,1251.0,211.5,15747.0,55.4761373,10.3284248,36.0,55.47619260767112,10.32845119303046,6.156821786464211,1.6651430766512674
31,35,1830.0,55.0,9519.0,55.4761373,10.3284248,36.0,55.476181395758815,10.328503067758273,4.90871741795146,4.937932989936168
31,36,1582.0,44.5,14129.5,55.4761373,10.3284248,36.0,55.476189488771574,10.32848506699945,5.809627476646766,3.8022604883136184
31,37,1168.0,72.0,15789.5,55.4761373,10.3284248,36.0,55.47620108777848,10.328452567413382,7.1008230189328,1.751853248475475
31,38,961.5,36.5,3424.5,55.4761373,10.3284248,36.0,55.4762089621489,10.328439034697942,7.977393925061245,0.8980707524443385
32,0,1184.5,2438.5,3131.5,55.4761368,10.3284273,89.0,55.47615958797608,10.328314900517091,2.5367458931785767,-7.091312361576074
32,1,2041.5,2426.5,2293.5,55.4761368,10.3284273,89.0,55.47611464620863,10.328317395617471,-2.4661487747126176,-6.9338958351696816
32,2,936.0,2355.5,2094.0,55.4761368,10.3284273,89.0,55.476172698694505,10.328322180857352,3.9962243927456176,-6.631993817097911
32,3,1966.0,2302.0,4162.5,55.4761368,10.3284273,89.0,55.476118720447005,10.328328796334022,-2.012606633291842,-6.214621688021699
32,4,1026.5,2266.5,8637.5,55.4761368,10.3284273,89.0,55.47616803312842,10.328330564160918,3.476855951671405,-6.103089033213192
32,5,896.5,2253.0,14567.0,55.4761368,10.3284273,89.0,55.476174864459686,10.328331603594384,4.2373162695576525,-6.037510907894247
32,6,694.0,2189.0,34564.0,55.4761368,10.3284273,89.0,55.47618554491544,10.32833719976518,5.4262591652796,-5.684447049205326
